Date,Time,Waste Category,Confidence,Action Required
2026-05-20,18:25:34,PLASTIC,83%,Recycle/Compost
2026-05-20,18:25:38,PLASTIC,67%,Recycle/Compost
2026-05-20,18:25:42,PLASTIC,78%,Recycle/Compost
2026-05-20,18:25:46,PLASTIC,78%,Recycle/Compost
2026-05-20,18:25:50,PLASTIC,83%,Recycle/Compost
2026-05-20,18:25:55,PLASTIC,71%,Recycle/Compost
2026-05-20,18:26:01,PLASTIC,67%,Recycle/Compost
2026-05-20,18:26:05,PLASTIC,66%,Recycle/Compost
2026-05-20,18:26:13,HAZARDOUS,32%,Special Disposal
2026-05-20,18:26:19,HAZARDOUS,33%,Special Disposal
2026-05-20,18:26:24,HAZARDOUS,78%,Special Disposal
2026-05-20,18:26:28,HAZARDOUS,61%,Special Disposal
2026-06-25,12:27:23,PLASTIC,78%,Recycle/Compost
2026-06-25,12:27:29,PLASTIC,83%,Recycle/Compost
2026-06-25,12:27:33,PLASTIC,81%,Recycle/Compost
2026-06-25,12:27:37,PLASTIC,57%,Recycle/Compost
2026-06-25,12:27:41,PLASTIC,84%,Recycle/Compost
2026-06-25,12:27:45,PLASTIC,45%,Recycle/Compost
2026-06-25,12:27:49,PLASTIC,86%,Recycle/Compost
2026-06-25,12:27:54,PLASTIC,77%,Recycle/Compost
2026-06-25,12:27:58,PLASTIC,79%,Recycle/Compost
2026-06-25,12:28:16,PLASTIC,58%,Recycle/Compost
2026-06-25,12:28:38,PLASTIC,84%,Recycle/Compost
2026-06-25,12:28:46,PLASTIC,86%,Recycle/Compost
2026-06-25,12:28:50,PLASTIC,70%,Recycle/Compost
2026-06-25,12:28:54,PLASTIC,75%,Recycle/Compost
2026-06-25,12:29:09,PLASTIC,57%,Recycle/Compost
2026-06-25,12:29:13,PLASTIC,29%,Recycle/Compost
2026-06-25,12:29:17,PLASTIC,75%,Recycle/Compost
2026-06-25,12:29:24,PLASTIC,41%,Recycle/Compost
2026-06-25,12:29:28,PLASTIC,78%,Recycle/Compost
2026-06-25,12:29:32,PLASTIC,81%,Recycle/Compost
2026-06-25,12:29:36,PLASTIC,60%,Recycle/Compost
2026-06-25,12:29:40,PLASTIC,81%,Recycle/Compost
2026-06-25,12:29:44,PLASTIC,69%,Recycle/Compost
2026-06-25,12:29:48,PLASTIC,72%,Recycle/Compost
2026-06-25,12:29:52,PLASTIC,82%,Recycle/Compost
2026-06-25,12:29:57,PLASTIC,77%,Recycle/Compost
2026-06-25,12:30:01,PLASTIC,77%,Recycle/Compost
2026-06-25,12:30:05,PLASTIC,87%,Recycle/Compost
2026-06-25,12:30:11,PLASTIC,72%,Recycle/Compost
2026-06-25,12:30:15,PLASTIC,67%,Recycle/Compost
2026-06-25,12:30:19,PLASTIC,61%,Recycle/Compost
2026-06-25,12:30:23,PLASTIC,48%,Recycle/Compost
2026-06-25,12:30:27,PLASTIC,68%,Recycle/Compost
2026-06-25,12:30:31,PLASTIC,68%,Recycle/Compost
2026-06-25,12:30:36,PLASTIC,69%,Recycle/Compost
2026-06-25,12:30:40,PLASTIC,58%,Recycle/Compost
2026-06-25,12:30:45,PLASTIC,76%,Recycle/Compost
2026-06-25,12:30:54,PLASTIC,62%,Recycle/Compost
2026-06-26,10:19:43,HAZARDOUS,50%,Special Disposal
2026-06-26,10:20:00,HAZARDOUS,42%,Special Disposal
2026-06-26,10:21:18,HAZARDOUS,29%,Special Disposal
2026-06-26,10:21:22,HAZARDOUS,48%,Special Disposal
2026-06-26,10:21:27,HAZARDOUS,59%,Special Disposal
2026-06-26,10:21:31,HAZARDOUS,90%,Special Disposal
2026-06-26,10:21:35,HAZARDOUS,87%,Special Disposal
2026-06-26,10:21:39,HAZARDOUS,79%,Special Disposal
2026-06-26,10:21:54,PAPER,28%,Recycle/Compost
2026-06-26,10:22:17,HAZARDOUS,26%,Special Disposal
2026-06-26,10:22:22,HAZARDOUS,49%,Special Disposal
2026-06-26,10:22:28,HAZARDOUS,37%,Special Disposal
2026-06-26,10:22:42,HAZARDOUS,49%,Special Disposal
2026-06-26,10:22:47,HAZARDOUS,65%,Special Disposal
2026-06-26,10:22:51,HAZARDOUS,78%,Special Disposal
2026-06-26,10:23:09,HAZARDOUS,43%,Special Disposal
2026-06-26,10:23:18,HAZARDOUS,28%,Special Disposal
2026-06-26,10:23:23,HAZARDOUS,32%,Special Disposal
2026-06-26,10:23:27,HAZARDOUS,44%,Special Disposal
2026-06-26,10:23:53,HAZARDOUS,38%,Special Disposal
2026-06-26,10:24:03,HAZARDOUS,69%,Special Disposal
2026-06-26,10:24:07,HAZARDOUS,73%,Special Disposal
2026-06-26,10:24:18,HAZARDOUS,27%,Special Disposal
2026-06-26,10:24:24,HAZARDOUS,43%,Special Disposal
